"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Bird Strike","Action,Shooter,Static","Bird Strike is an Action game, developed and published by Firebird,which was released in Europe in 1981.","n/a","10.0","n/a","Firebird","1981 ","http://www.gamefaqs.com/bbc/950502-bird-strike"
"Birdie Barrage","Sports,Traditional,Golf,Sim","Birdie Barrage is a Sports game, developed and published by CDS Microsystems,which was released in Europe in 1983.","n/a","n/a","n/a","CDS Microsystems","1983 ","http://www.gamefaqs.com/bbc/950139-birdie-barrage"
"Birds Of Prey","Action,Shooter,Static","Birds Of Prey is an Action game, developed and published by Romik Software,which was released in Europe in 1983.","n/a","n/a","n/a","Romik Software","1983 ","http://www.gamefaqs.com/bbc/950329-birds-of-prey"
"Black Box","Strategy,General","Black Box is a Strategy game, developed and published by Acornsoft,which was released in Europe in 1984.","n/a","n/a","n/a","Acornsoft","1984 ","http://www.gamefaqs.com/bbc/949290-black-box"
"Black Queen","Miscellaneous,General","Black Queen is a Miscellaneous game, developed and published by BBC Software,which was released in Europe in 1987.","n/a","n/a","n/a","BBC Software","1987 ","http://www.gamefaqs.com/bbc/950054-black-queen"
"Blackjack","Miscellaneous,Parlor,Gambling","Blackjack is a Miscellaneous game, developed and published by Software Invasion,which was released in Europe in 1983.","n/a","n/a","n/a","Software Invasion","1983 ","http://www.gamefaqs.com/bbc/950683-blackjack"
"Blagger","Action,Platformer,2D","The most skillful house breaker of all time turns his attentions to the town of Umstrid, having successfully cleaned out its computer age predecessors. Can Roger the Dodger loot his way through an endless number of banks, shops, houses... a burglar's dream. The giant in his eye is not just sheer cheek, it's from the golden keys that he has to collect - but don't be too dazzled by the thought of amassed riches - round every corner in every passage danger lies in wait.","n/a","6.0","n/a","Alligata Software","1984 ","http://www.gamefaqs.com/bbc/949954-blagger"
"Blast!","Action,Shooter,Static","Blast! is an Action game, developed and published by Audiogenic Ltd.,which was released in Europe in 1989.","n/a","n/a","n/a","Audiogenic Ltd.","1989 ","http://www.gamefaqs.com/bbc/950055-blast"
"Blitzkrieg","Action,Shooter,Third-Person,Tactical,Modern","Blitzkrieg is an Action game, developed and published by Software Invasion,which was released in Europe in 1984.","n/a","n/a","n/a","Software Invasion","1984 ","http://www.gamefaqs.com/bbc/950421-blitzkrieg"
"Blockbusters","Miscellaneous,Trivia / Game Show","Blockbusters is a Miscellaneous game, developed and published by Macsen Software,which was released in Europe in 1985.","n/a","n/a","n/a","Macsen Software","1985 ","http://www.gamefaqs.com/bbc/950231-blockbusters"
"Blood of the Mutineers","Adventure,Text","Blood of the Mutineers is an Adventure game, developed and published by Robico,which was released in Europe in 1988.","n/a","n/a","n/a","Robico","1988 ","http://www.gamefaqs.com/bbc/950684-blood-of-the-mutineers"
"Blue Dragon 1983","Adventure,Text","Blue Dragon 1983 is an Adventure game, developed and published by MP Soft,which was released in Europe in 1983.","n/a","n/a","n/a","MP Soft","1983 ","http://www.gamefaqs.com/bbc/950390-blue-dragon-1983"
"Blue Dragon 1983","Adventure,Text","Blue Dragon 1983 is an Adventure game, developed and published by MP Soft,which was released in Europe in 1983.","n/a","n/a","n/a","MP Soft","1983 ","http://www.gamefaqs.com/bbc/950390-blue-dragon-1983"
"Blue Ribbon Games Disc 1","Miscellaneous,Compilation","Blue Ribbon Games Disc 1 is a Miscellaneous game, developed and published by Blue Ribbon,which was released in Europe in 1985.","n/a","n/a","n/a","Blue Ribbon","1985 ","http://www.gamefaqs.com/bbc/950784-blue-ribbon-games-disc-1"
"Blue Ribbon Games Disc 2","Miscellaneous,Compilation","Blue Ribbon Games Disc 2 is a Miscellaneous game, developed and published by Blue Ribbon,which was released in Europe in 1985.","n/a","n/a","n/a","Blue Ribbon","1985 ","http://www.gamefaqs.com/bbc/950785-blue-ribbon-games-disc-2"
"Blue Ribbon Games Disc 3","Miscellaneous,Compilation","Blue Ribbon Games Disc 3 is a Miscellaneous game, developed and published by Blue Ribbon,which was released in Europe in 1985.","n/a","n/a","n/a","Blue Ribbon","1985 ","http://www.gamefaqs.com/bbc/950786-blue-ribbon-games-disc-3"
"BMX on the Moon","Action,Shooter,Scrolling","BMX on the Moon is an Action game, developed and published by Superior Software,which was released in Europe in 1984.","n/a","n/a","n/a","Superior Software","1984 ","http://www.gamefaqs.com/bbc/949668-bmx-on-the-moon"
"Bobby Charlton Soccer","Sports,Traditional,Soccer,Sim","Bobby Charlton Soccer is a Sports game, developed and published by Dacc Ltd,which was released in Europe in 1985.","n/a","n/a","n/a","Dacc Ltd","1985 ","http://www.gamefaqs.com/bbc/950503-bobby-charlton-soccer"
"Boffin","Action,Platformer,2D","Boffin is an Action game, developed and published by Addictive Games,which was released in Europe in 1985.","n/a","n/a","n/a","Addictive Games","1985 ","http://www.gamefaqs.com/bbc/949955-boffin"
"Boffin 2","Action,Platformer,2D","Boffin 2 is an Action game, developed and published by Addictive Games,which was released in Europe in 1985.","n/a","n/a","n/a","Addictive Games","1985 ","http://www.gamefaqs.com/bbc/949959-boffin-2"
"Bone Cruncher","Action,General","Bone Cruncher is an Action game, developed and published by Superior Software,which was released in Europe in 1987.","n/a","7.0","n/a","Superior Software","1987 ","http://www.gamefaqs.com/bbc/949463-bone-cruncher"
"Bone Cruncher","Action,General","Bone Cruncher is an Action game, developed and published by Superior Software,which was released in Europe in 1987.","n/a","7.0","n/a","Superior Software","1987 ","http://www.gamefaqs.com/bbc/949463-bone-cruncher"
