"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"As Aventuras da TV Colosso","SA","Action,Platformer,2D","Getafix the Druid is out of magic potion! If Caesar finds out, it's invasion for sure. Asterix and Obelix set out to find the necessary herbs. A mission through all sorts of Roman-infested terrain - seas and rivers, forests and deserts, temples and ruins.","4.0","6.7","n/a","Sega","1993 ","http://www.gamefaqs.com/sms/581785-asterix-and-the-secret-mission"
"Rambo: First Blood Part II","US","Action,Shooter,Scrolling","You are Rambo, the super hero of the movies. And you come to life on your own screen. You must go deep into enemy territory to rescue your comrades from concentration camps. Blow those camps. And escape with your skin. It's no picnic. You're menaced by infantry. Artillery. Flame throwers and rocket launchers. Everything the enemy can throw at you. So you must use every tactic at your command. Your weapons? Your M-60. A supply of arrow-bombs. Your savage strength. And steel nerves. Play the game by yourself. Or with your partner. Alone or together, you'll find yourself in the middle of enough color and action for a battalion to take on. And remember. You take no prisoners.","8.0","6.6","","Sega","1986 ","http://www.gamefaqs.com/sms/925764-rambo-first-blood-part-ii"
"Ashura","JP","Action,Shooter,Scrolling","You are Rambo, the super hero of the movies. And you come to life on your own screen. You must go deep into enemy territory to rescue your comrades from concentration camps. Blow those camps. And escape with your skin. It's no picnic. You're menaced by infantry. Artillery. Flame throwers and rocket launchers. Everything the enemy can throw at you. So you must use every tactic at your command. Your weapons? Your M-60. A supply of arrow-bombs. Your savage strength. And steel nerves. Play the game by yourself. Or with your partner. Alone or together, you'll find yourself in the middle of enough color and action for a battalion to take on. And remember. You take no prisoners.","8.0","6.6","","Sega","1986 ","http://www.gamefaqs.com/sms/925764-rambo-first-blood-part-ii"
"Secret Command ","EU","Action,Shooter,Scrolling","You are Rambo, the super hero of the movies. And you come to life on your own screen. You must go deep into enemy territory to rescue your comrades from concentration camps. Blow those camps. And escape with your skin. It's no picnic. You're menaced by infantry. Artillery. Flame throwers and rocket launchers. Everything the enemy can throw at you. So you must use every tactic at your command. Your weapons? Your M-60. A supply of arrow-bombs. Your savage strength. And steel nerves. Play the game by yourself. Or with your partner. Alone or together, you'll find yourself in the middle of enough color and action for a battalion to take on. And remember. You take no prisoners.","8.0","6.6","","Sega","1986 ","http://www.gamefaqs.com/sms/925764-rambo-first-blood-part-ii"
"Secret Command ","US","Action,Shooter,Scrolling","You are Rambo, the super hero of the movies. And you come to life on your own screen. You must go deep into enemy territory to rescue your comrades from concentration camps. Blow those camps. And escape with your skin. It's no picnic. You're menaced by infantry. Artillery. Flame throwers and rocket launchers. Everything the enemy can throw at you. So you must use every tactic at your command. Your weapons? Your M-60. A supply of arrow-bombs. Your savage strength. And steel nerves. Play the game by yourself. Or with your partner. Alone or together, you'll find yourself in the middle of enough color and action for a battalion to take on. And remember. You take no prisoners.","8.0","6.6","","Sega","1986 ","http://www.gamefaqs.com/sms/925764-rambo-first-blood-part-ii"
"Assault City","US","Action,Shooter,Light Gun","Robots Go Berserk! Dateline: Assault City, 2092. It's a robot mutiny! Central Computer Control is in chaos. Armed KillerBots are running amok, blasting loyal Bots into metal junk and piles of whining servomotors!","7.0","6.3","n/a","Sanritsu","1990 ","http://www.gamefaqs.com/sms/570189-assault-city"
"Asterix","US","Action,Platformer,2D","Getafix, the Druid whose magic potion has kept his village from falling into Caesar's hands, has been kidnapped! Join Asterix and Obelix as they try to rescue the druid and save the village!","8.2","7.2","n/a","Sega","1991 ","http://www.gamefaqs.com/sms/588034-asterix"
"Asterix and the Great Rescue","US","Action,Platformer,2D","Getafix the Druid and Dogmatix have been captured by the evil Roman forces. Use your magic potions to help Asterix and Obelix fight their way through five levels to Rome itself and free their buddies from Caesar's clutches!","n/a","6.6","n/a","Core Design Ltd.","September 1993 ","http://www.gamefaqs.com/sms/581784-asterix-and-the-great-rescue"
"Asterix and the Secret Mission","US","Action,Platformer,2D","Getafix the Druid is out of magic potion! If Caesar finds out, it's invasion for sure. Asterix and Obelix set out to find the necessary herbs. A mission through all sorts of Roman-infested terrain - seas and rivers, forests and deserts, temples and ruins.","4.0","6.7","n/a","Sega","1993 ","http://www.gamefaqs.com/sms/581785-asterix-and-the-secret-mission"
"As Aventuras da TV Colosso","SA","Action,Platformer,2D","Getafix the Druid is out of magic potion! If Caesar finds out, it's invasion for sure. Asterix and Obelix set out to find the necessary herbs. A mission through all sorts of Roman-infested terrain - seas and rivers, forests and deserts, temples and ruins.","4.0","6.7","n/a","Sega","1993 ","http://www.gamefaqs.com/sms/581785-asterix-and-the-secret-mission"
