"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Meitantei Conan: Yuugure no Ouju","US","Adventure,General","Meitantei Conan: Yuugure no Ouju is an Adventure game, developed by Tomcat System and published by Bandai,which was released in Japan in 2001.","n/a","8.0","n/a","Tomcat System","Apr 15, 2001 ","http://www.gamefaqs.com/wsc/580699-meitantei-conan-yuugure-no-ouju"
"Memories Off Festa","US","Adventure,General","Memories Off Festa is an Adventure game, developed and published by Kid,which was released in Japan in 2001.","n/a","n/a","n/a","Kid","Mar8, 2001 ","http://www.gamefaqs.com/wsc/580436-memories-off-festa"
"Mikeneko Holmes: Ghost Panic","US","Adventure,General","Mikeneko Holmes: Ghost Panic is an Adventure game, developed by MintJulep and published by Koubunsha,which was released in Japan in 2001.","n/a","n/a","n/a","MintJulep","Apr 26, 2001 ","http://www.gamefaqs.com/wsc/580698-mikeneko-holmes-ghost-panic"
"Mobile Suit Gundam: msplatoon.com","US","Strategy,Breeding/Constructing","Mobile Suit Gundam: msplatoon.com is a Strategy game, developed and published by Bandai,which was cancelled before it was released.","","","","Bandai","Canceled ","http://www.gamefaqs.com/wsc/581511-mobile-suit-gundam-msplatooncom"
"Mr. Driller","US","Miscellaneous,Puzzle,Action","Mr. Driller's world has been covered with mysterious colored blocks. Armed with only a mighty drill, you'll have to dig your way down to safety before his air supply runs out! It will take quick thinking and sharp reflexes to get the job done. Can you handle the challenge?","n/a","8.0","n/a","Namco","Apr 15, 2001 ","http://www.gamefaqs.com/wsc/580696-mr-driller"
"Namco Super Wars","US","Strategy,General","Namco Super Wars is a Strategy game, developed by Gantan and published by Bandai,which was released in Japan in 2002.","n/a","9.0","n/a","Gantan","Oct 31, 2002 ","http://www.gamefaqs.com/wsc/567633-namco-super-wars"
"Naruto: Konoha Ninpouchou","US","Role-Playing,General","Naruto: Konoha Ninpouchou is a Role-Playing game, developed by Bec and published by Bandai,which was released in Japan in 2003.","7.0","10.0","n/a","Bec","Mar 27, 2003 ","http://www.gamefaqs.com/wsc/583210-naruto-konoha-ninpouchou"
"Ochisuzume","US","Strategy,Breeding/Constructing","Ochisuzume is a Strategy game, developed and published by Bandai,which was cancelled before it was released.","","","","Bandai","Canceled ","http://www.gamefaqs.com/wsc/581512-ochisuzume"
"One Piece Grand Battle: Swan Colosseum","US","Action,Fighting,2D","One Piece Grand Battle: Swan Colosseum is an Action game, developed by Dimps Corporation and published by Bandai,which was released in Japan in 2002.","9.0","8.0","n/a","Dimps Corporation","Jul 12, 2002 ","http://www.gamefaqs.com/wsc/582218-one-piece-grand-battle-swan-colosseum"
"One Piece: Chopper no Daibouken","US","Role-Playing,General","One Piece: Chopper no Daibouken is a Role-Playing game, developed by TOSE and published by Bandai,which was released in Japan in 2003.","n/a","7.0","n/a","TOSE","Oct 16, 2003 ","http://www.gamefaqs.com/wsc/918341-one-piece-chopper-no-daibouken"
"One Piece: Niji no Shima Densetsu","US","Action,General","One Piece: Niji no Shima Densetsu is an Action game, developed by Tomcat System and published by Bandai,which was released in Japan in 2001.","n/a","n/a","n/a","Tomcat System","Sep 13, 2001 ","http://www.gamefaqs.com/wsc/562701-one-piece-niji-no-shima-densetsu"
"One Piece: Treasure Wars","US","Action,General","One Piece: Treasure Wars is an Action game, developed by Graphic Research and published by Bandai,which was released in Japan in 2002.","n/a","8.0","n/a","Graphic Research","Jan3, 2002 ","http://www.gamefaqs.com/wsc/566498-one-piece-treasure-wars"
