"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Macross: Eien no Love Song","Strategy,Breeding/Constructing","Macross: Eien no Love Song is a Strategy game, published by NCS,which was released in Japan in 1992.","n/a","7.0","n/a","NCS","Dec4, 1992 ","http://www.gamefaqs.com/turbocd/916085-macross-eien-no-love-song"
"Cobra II: Densetsu no Otoko","Adventure,General","Cobra II: Densetsu no Otoko is an Adventure game, developed by Mutech and published by Hudson,which was released in Japan in 1991.","n/a","n/a","n/a","Mutech","Jun7, 1991 ","http://www.gamefaqs.com/turbocd/589242-cobra-ii-densetsu-no-otoko"
"Cobra Kuroryuuou no Densetsu","Adventure,General","Cobra Kuroryuuou no Densetsu is an Adventure game, published by Hudson,which was released in Japan in 1989.","n/a","n/a","n/a","Hudson","Mar4, 1989 ","http://www.gamefaqs.com/turbocd/589241-cobra-kuroryuuou-no-densetsu"
"Color Wars","Miscellaneous,Puzzle,General","Color Wars is a Miscellaneous game, developed by Tomcat System and published by Coconuts Japan,which was released in Japan in 1992.","n/a","n/a","n/a","Tomcat System","Jul 10, 1992 ","http://www.gamefaqs.com/turbocd/589243-color-wars"
"Cosmic Fantasy 2","Role-Playing,Console-style RPG","Turn your imagination over to a Cosmic Fantasy of epic proportions! Laura has been kidnapped, and you must reach her before it's too late. Cut a swath of destruction through the throng of monsters blocking the path to Galam's hideout to save her. Along the way, make friends, solve puzzles, and learn magic while inching your way toward a confrontation that will shake the cosmos! Interactive fantasy role playing takes on a whole new dimension with the addition of animated intermissions that will get you involved in the story! And, what's more, the true RPG-style combat interface will put you right in the action!","6.0","7.2","","","","http://www.gamefaqs.com/turbocd/589246-cosmic-fantasy-2"
"Cosmic Fantasy 2","Role-Playing,Console-style RPG","Turn your imagination over to a Cosmic Fantasy of epic proportions! Laura has been kidnapped, and you must reach her before it's too late. Cut a swath of destruction through the throng of monsters blocking the path to Galam's hideout to save her. Along the way, make friends, solve puzzles, and learn magic while inching your way toward a confrontation that will shake the cosmos! Interactive fantasy role playing takes on a whole new dimension with the addition of animated intermissions that will get you involved in the story! And, what's more, the true RPG-style combat interface will put you right in the action!","6.0","7.2","","","","http://www.gamefaqs.com/turbocd/589246-cosmic-fantasy-2"
"Cosmic Fantasy 3: Bouken Shounen Rei","Role-Playing,General","Cosmic Fantasy 3: Bouken Shounen Rei is a Role-Playing game, developed by Open Sesame and published by Nippon Telenet,which was released in Japan in 1992.","n/a","6.7","n/a","Open Sesame","Sep 25, 1992 ","http://www.gamefaqs.com/turbocd/589247-cosmic-fantasy-3-bouken-shounen-rei"
"Cosmic Fantasy 4: Ginga Shounen Densetsu (Gekitouhen)","Role-Playing,General","Cosmic Fantasy 4: Ginga Shounen Densetsu (Gekitouhen) is a Role-Playing game, developed by Open Sesame and published by Nippon Telenet,which was released in Japan in 1994.","n/a","7.0","n/a","Open Sesame","Nov 25, 1994 ","http://www.gamefaqs.com/turbocd/589248-cosmic-fantasy-4-ginga-shounen-densetsu-gekitouhen"
"Cosmic Fantasy 4: Ginga Shounen Densetsu (Totsunyuuhen)","Role-Playing,General","Cosmic Fantasy 4: Ginga Shounen Densetsu (Totsunyuuhen) is a Role-Playing game, developed by Open Sesame and published by Nippon Telenet,which was released in Japan in 1994.","n/a","7.0","n/a","Open Sesame","Jun 10, 1994 ","http://www.gamefaqs.com/turbocd/589249-cosmic-fantasy-4-ginga-shounen-densetsu"
"Cosmic Fantasy Visual Shuu","Miscellaneous,General","Cosmic Fantasy Visual Shuu is a Miscellaneous game, published by Nippon Telenet,which was released in Japan in 1993.","n/a","1.0","n/a","Nippon Telenet","Feb 12, 1993 ","http://www.gamefaqs.com/turbocd/589250-cosmic-fantasy-visual-shuu"
"Cosmic Fantasy: Bouken Shounen Yuu","Role-Playing,General","Cosmic Fantasy: Bouken Shounen Yuu is a Role-Playing game, published by Nippon Telenet,which was released in Japan in 1990.","6.0","7.0","n/a","Nippon Telenet","Mar 30, 1990 ","http://www.gamefaqs.com/turbocd/589245-cosmic-fantasy-bouken-shounen-yuu"
"Cotton: Fantastic Night Dreams","Action,Shooter,Scrolling","Cotton: Fantastic Night Dreams is an Action game, developed and published by Hudson,which was released in Japan in 1993.","n/a","8.3","","","","http://www.gamefaqs.com/turbocd/589251-cotton-fantastic-night-dreams"
"Riot Zone","Action,Beat-'Em-Up","Riot Zone is a side-scrolling fighting game that follows two heroes as they fight to take down an evil organization. The crime syndicate Dragon Zone has kidnapped Hawk's girlfriend and it's up to him and his partner detective, Tony, to get her back. Join them as they jump &quot;fists first&quot; into the grim Kowloon district.","4.5","5.8","","","","http://www.gamefaqs.com/turbocd/563763-riot-zone"
"Cyber City Oedo 808","Adventure,General","Cyber City Oedo 808 is an Adventure game, developed by Dual and published by NCS,which was released in Japan in 1991.","n/a","n/a","n/a","Dual","Mar 15, 1991 ","http://www.gamefaqs.com/turbocd/589253-cyber-city-oedo-808"
"Daisenpuu Custom","Action,Shooter,Scrolling","Daisenpuu Custom is an Action game, published by NEC Interchannel,which was released in Japan in 1991.","n/a","n/a","n/a","NEC Interchannel","Jul 26, 1991 ","http://www.gamefaqs.com/turbocd/916045-daisenpuu-custom"
"Daisenryaku II Campaign-Han","Strategy,Breeding/Constructing","Daisenryaku II Campaign-Han is a Strategy game, published by Micro Cabin,which was released in Japan in 1992.","n/a","8.0","n/a","Micro Cabin","May 29, 1992 ","http://www.gamefaqs.com/turbocd/571608-daisenryaku-ii-campaign-han"
"The Davis Cup Tennis","Sports,Traditional,Tennis","The Davis Cup Tennis is a Sports game, developed by Loriciels and published by Micro World,which was released in Japan in 1992.","n/a","n/a","n/a","Loriciels","Apr1, 1992 ","http://www.gamefaqs.com/turbocd/589254-the-davis-cup-tennis"
"De-Ja","Adventure,General","De-Ja is an Adventure game, developed by Elf and published by NEC Interchannel,which was released in Japan in 1996.","n/a","n/a","n/a","Elf","Jul 12, 1996 ","http://www.gamefaqs.com/turbocd/589255-de-ja"
"Dead of the Brain 1 & 2","Adventure,General","Dead of the Brain 1 & 2 is an Adventure game, developed by Fairy Tale and published by NEC Interchannel,which was released in Japan in 1999.","n/a","n/a","n/a","Fairy Tale","Jun3, 1999 ","http://www.gamefaqs.com/turbocd/571615-dead-of-the-brain-1-and-2"
"Death Bringer","Role-Playing,General","Death Bringer is a Role-Playing game, published by Nippon Telenet,which was released in Japan in 1990.","n/a","n/a","n/a","Nippon Telenet","Apr 27, 1990 ","http://www.gamefaqs.com/turbocd/589256-death-bringer"
"Death Bringer","Role-Playing,General","Death Bringer is a Role-Playing game, published by Nippon Telenet,which was released in Japan in 1990.","n/a","n/a","n/a","Nippon Telenet","Apr 27, 1990 ","http://www.gamefaqs.com/turbocd/589256-death-bringer"
"Dekoboko Densetsu: Hashiru Wagamanma","Driving,Racing,Arcade","Dekoboko Densetsu: Hashiru Wagamanma is a Driving game, published by Nippon Telenet,which was released in Japan in 1990.","n/a","n/a","n/a","Nippon Telenet","Nov2, 1990 ","http://www.gamefaqs.com/turbocd/579863-dekoboko-densetsu-hashiru-wagamanma"
